                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.04896,                 0.2324,                0.88676,                0.99519,                0.99252,                0.99457,                0.99423,                0.09256,                0.22048,                0.18203,               0.004258,               0.004258,               0.004258
                     61,                0.04835,                0.23177,                0.88577,                0.99534,                 0.9929,                0.99456,                0.99412,                0.09353,                0.22493,                0.18255,               0.004159,               0.004159,               0.004159
                     62,                    inf,                0.22887,                0.88589,                 0.9953,                0.99239,                0.99453,                0.99401,                0.09461,                0.22707,                0.18307,                0.00406,                0.00406,                0.00406
                     63,                    inf,                0.22733,                0.88646,                0.99499,                0.99223,                0.99452,                0.99385,                0.09549,                0.22541,                0.18295,               0.003961,               0.003961,               0.003961
                     64,                0.04669,                0.22333,                0.88678,                0.99472,                0.99204,                0.99449,                0.99379,                0.09753,                0.22677,                0.18384,               0.003862,               0.003862,               0.003862
                     65,                    inf,                0.21989,                0.88619,                0.99442,                0.99197,                0.99446,                0.99362,                0.09995,                0.23198,                0.18488,               0.003763,               0.003763,               0.003763
                     66,                0.04615,                0.21747,                0.88703,                0.99471,                0.99237,                0.99446,                0.99361,                0.10075,                0.23143,                0.18511,               0.003664,               0.003664,               0.003664
                     67,                    inf,                0.21551,                0.88553,                0.99458,                 0.9926,                0.99449,                0.99342,                0.10093,                0.23133,                0.18525,               0.003565,               0.003565,               0.003565
                     68,                0.04482,                0.21351,                0.88548,                0.99458,                0.99262,                0.99455,                0.99352,                0.10175,                0.23008,                0.18575,               0.003466,               0.003466,               0.003466
                     69,                    inf,                0.21141,                0.88591,                0.99471,                0.99306,                0.99461,                0.99378,                0.10289,                0.22908,                0.18683,               0.003367,               0.003367,               0.003367
                     70,                    inf,                0.21012,                0.88609,                0.99477,                0.99247,                0.99462,                0.99371,                0.10517,                0.23283,                0.18785,               0.003268,               0.003268,               0.003268
                     71,                0.04292,                0.20952,                0.88578,                0.99477,                0.99177,                0.99462,                0.99375,                0.10754,                0.23662,                0.18917,               0.003169,               0.003169,               0.003169
                     72,                0.04323,                0.20551,                0.88682,                0.99486,                0.99122,                0.99462,                0.99376,                0.10838,                0.23786,                0.18904,                0.00307,                0.00307,                0.00307
                     73,                0.04208,                0.20315,                0.88574,                0.99501,                0.99127,                0.99463,                0.99337,                0.10858,                0.23524,                0.18911,               0.002971,               0.002971,               0.002971
                     74,                    inf,                0.20059,                0.88569,                0.99474,                0.99158,                0.99464,                0.99324,                0.10983,                0.23735,                0.19075,               0.002872,               0.002872,               0.002872
                     75,                0.04114,                0.19668,                0.88581,                0.99466,                0.99188,                0.99465,                 0.9934,                 0.1101,                0.23566,                0.19147,               0.002773,               0.002773,               0.002773
                     76,                0.03993,                0.19483,                0.88494,                0.99403,                0.99246,                0.99464,                0.99366,                 0.1102,                0.23739,                0.19187,               0.002674,               0.002674,               0.002674
                     77,                0.03935,                0.19597,                0.88494,                0.99358,                0.99271,                0.99465,                0.99365,                0.11009,                0.23666,                0.19235,               0.002575,               0.002575,               0.002575
                     78,                0.03929,                0.18971,                0.88516,                0.99323,                0.99298,                0.99464,                0.99326,                0.10984,                0.23642,                0.19246,               0.002476,               0.002476,               0.002476
                     79,                0.03841,                0.18483,                0.88557,                0.99336,                0.99297,                0.99465,                0.99349,                0.11033,                0.23884,                0.19285,               0.002377,               0.002377,               0.002377
                     80,                    inf,                0.18619,                 0.8848,                0.99416,                0.99244,                0.99464,                0.99354,                0.11098,                0.24231,                0.19335,               0.002278,               0.002278,               0.002278
                     81,                    inf,                 0.1839,                0.88494,                0.99336,                0.99185,                0.99462,                0.99348,                0.11012,                 0.2439,                  0.192,               0.002179,               0.002179,               0.002179
                     82,                0.03648,                0.18086,                0.88496,                0.99126,                0.99273,                0.99455,                0.99334,                0.10917,                0.24686,                0.19114,                0.00208,                0.00208,                0.00208
                     83,                    inf,                0.17763,                0.88544,                0.99075,                0.99275,                 0.9945,                 0.9934,                0.10837,                0.25509,                0.19028,               0.001981,               0.001981,               0.001981
                     84,                 0.0354,                0.17639,                0.88429,                0.99032,                0.99255,                0.99451,                0.99354,                 0.1075,                0.26159,                0.18934,               0.001882,               0.001882,               0.001882
                     85,                0.03528,                0.17287,                0.88455,                0.98981,                0.99274,                0.99449,                0.99332,                0.10855,                0.26385,                0.18903,               0.001783,               0.001783,               0.001783
                     86,                    inf,                0.16911,                0.88438,                0.98976,                  0.993,                0.99452,                0.99351,                 0.1081,                 0.2603,                0.18787,               0.001684,               0.001684,               0.001684
                     87,                0.03367,                0.16602,                0.88496,                0.98978,                0.99297,                0.99455,                 0.9936,                 0.1074,                0.25731,                0.18725,               0.001585,               0.001585,               0.001585
                     88,                0.03329,                 0.1655,                 0.8858,                0.98908,                0.99346,                0.99457,                0.99353,                0.10625,                 0.2569,                0.18691,               0.001486,               0.001486,               0.001486
                     89,                    inf,                0.16009,                0.88389,                0.98728,                0.99482,                0.99457,                 0.9934,                0.10614,                0.25525,                0.18663,               0.001387,               0.001387,               0.001387
                     90,                    inf,                 0.1554,                0.88573,                0.98649,                0.99491,                0.99458,                 0.9934,                0.10592,                0.25666,                0.18652,               0.001288,               0.001288,               0.001288
                     91,                0.02801,                0.05079,                0.89724,                0.98833,                0.99589,                0.99465,                0.99406,                0.10723,                 0.2448,                0.18726,               0.001189,               0.001189,               0.001189
                     92,                0.02545,                0.04198,                0.89601,                0.99061,                0.99589,                0.99472,                 0.9945,                0.11037,                 0.2366,                0.18894,                0.00109,                0.00109,                0.00109
                     93,                    inf,                0.03884,                0.89706,                0.99106,                0.99629,                0.99477,                0.99461,                0.11208,                0.23501,                0.18997,               0.000991,               0.000991,               0.000991
                     94,                0.02219,                0.03739,                0.89574,                0.99215,                0.99611,                0.99482,                0.99472,                 0.1157,                0.23582,                0.19219,               0.000892,               0.000892,               0.000892
                     95,                0.02097,                0.03387,                0.89742,                 0.9922,                0.99627,                0.99485,                0.99479,                0.11798,                0.23625,                0.19407,               0.000793,               0.000793,               0.000793
                     96,                    inf,                0.03193,                0.89531,                0.99205,                0.99648,                0.99487,                0.99481,                0.12019,                0.23794,                0.19587,               0.000694,               0.000694,               0.000694
                     97,                0.01871,                0.03062,                0.89586,                0.99372,                0.99515,                0.99489,                0.99484,                0.12211,                0.24073,                0.19724,               0.000595,               0.000595,               0.000595
                     98,                0.01743,                0.02792,                 0.8956,                0.99445,                 0.9956,                 0.9949,                0.99487,                0.12392,                0.24338,                0.19864,               0.000496,               0.000496,               0.000496
                     99,                    inf,                0.02637,                  0.897,                0.99451,                0.99563,                 0.9949,                0.99489,                0.12562,                 0.2449,                0.19975,               0.000397,               0.000397,               0.000397
                    100,                0.01531,                0.02521,                0.89497,                  0.995,                0.99543,                 0.9949,                0.99489,                 0.1281,                0.24674,                0.20133,               0.000298,               0.000298,               0.000298
