                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.05065,                0.27653,                0.88615,                0.99322,                0.99013,                 0.9945,                0.99368,                0.08226,                0.19164,                0.58831,               0.003466,               0.003466,               0.003466
                     69,                0.05004,                0.27397,                0.88676,                0.99315,                0.99026,                0.99451,                0.99369,                0.08404,                0.19352,                 0.5891,               0.003367,               0.003367,               0.003367
                     70,                0.04876,                0.27073,                0.88718,                0.99294,                0.99063,                0.99451,                0.99371,                0.08478,                0.19684,                0.58919,               0.003268,               0.003268,               0.003268
                     71,                0.04887,                0.26567,                0.88694,                 0.9929,                0.99063,                0.99452,                0.99359,                 0.0857,                0.19974,                0.58936,               0.003169,               0.003169,               0.003169
                     72,                0.04783,                0.26261,                0.88736,                0.99309,                0.99061,                0.99453,                0.99376,                0.08561,                0.20154,                0.58884,                0.00307,                0.00307,                0.00307
                     73,                    inf,                0.26371,                0.88573,                 0.9937,                0.99011,                0.99454,                0.99397,                0.08745,                0.20272,                0.58966,               0.002971,               0.002971,               0.002971
                     74,                    inf,                0.25685,                0.88619,                0.99399,                0.99017,                0.99457,                0.99383,                0.08818,                0.20391,                0.58984,               0.002872,               0.002872,               0.002872
                     75,                    inf,                0.25428,                0.88658,                 0.9937,                0.99039,                0.99459,                0.99393,                0.08741,                0.20442,                0.58907,               0.002773,               0.002773,               0.002773
                     76,                0.04608,                0.25166,                0.88718,                0.99398,                0.99071,                0.99461,                0.99386,                0.08549,                 0.2036,                0.58807,               0.002674,               0.002674,               0.002674
                     77,                 0.0455,                0.25235,                0.88594,                0.99471,                0.99061,                0.99463,                0.99396,                0.08366,                0.20299,                0.58681,               0.002575,               0.002575,               0.002575
                     78,                0.04431,                0.24685,                0.88576,                0.99452,                0.99077,                0.99464,                0.99404,                0.08212,                0.20302,                0.58601,               0.002476,               0.002476,               0.002476
                     79,                0.04334,                 0.2396,                0.88576,                0.99533,                 0.9908,                0.99464,                0.99423,                0.08095,                0.20431,                0.58557,               0.002377,               0.002377,               0.002377
                     80,                    inf,                0.23598,                0.88553,                0.99491,                0.99076,                0.99463,                0.99433,                0.07935,                0.20135,                0.58504,               0.002278,               0.002278,               0.002278
                     81,                0.04252,                 0.2374,                0.88596,                0.99545,                0.99055,                0.99464,                0.99413,                0.07829,                0.19889,                 0.5846,               0.002179,               0.002179,               0.002179
                     82,                0.04159,                0.23327,                0.88553,                0.99522,                0.99029,                0.99463,                0.99453,                0.07634,                0.19555,                0.58401,                0.00208,                0.00208,                0.00208
                     83,                    inf,                0.23053,                 0.8864,                0.99455,                0.98993,                0.99462,                0.99448,                 0.0734,                0.19084,                0.58287,               0.001981,               0.001981,               0.001981
                     84,                0.04109,                0.23108,                0.88486,                0.99404,                0.98986,                0.99461,                0.99452,                0.07256,                0.18903,                0.58274,               0.001882,               0.001882,               0.001882
                     85,                0.04194,                0.23114,                0.88595,                0.99364,                0.99069,                 0.9946,                0.99453,                0.07182,                0.18579,                0.58319,               0.001783,               0.001783,               0.001783
                     86,                0.04014,                0.22445,                0.88494,                0.99354,                0.99109,                0.99459,                0.99453,                0.07315,                 0.1853,                0.58467,               0.001684,               0.001684,               0.001684
                     87,                0.03871,                 0.2196,                0.88536,                0.99342,                0.99085,                0.99459,                0.99449,                0.07495,                0.18527,                0.58592,               0.001585,               0.001585,               0.001585
                     88,                    inf,                0.21796,                0.88568,                0.99324,                0.99111,                0.99458,                0.99449,                0.07574,                 0.1849,                0.58655,               0.001486,               0.001486,               0.001486
                     89,                    inf,                0.21246,                  0.884,                  0.993,                0.99095,                0.99457,                0.99445,                0.07796,                0.18649,                0.58765,               0.001387,               0.001387,               0.001387
                     90,                0.03687,                0.20802,                0.88581,                0.99311,                0.99069,                0.99457,                0.99432,                0.08106,                0.18898,                0.58886,               0.001288,               0.001288,               0.001288
                     91,                0.03519,                0.07814,                0.90059,                0.99402,                0.99004,                0.99458,                0.99436,                0.08264,                0.19216,                 0.5889,               0.001189,               0.001189,               0.001189
                     92,                0.03048,                0.06308,                0.89786,                0.99395,                0.99051,                0.99461,                0.99448,                0.08382,                 0.1953,                0.58865,                0.00109,                0.00109,                0.00109
                     93,                    inf,                0.05393,                0.89739,                0.99413,                0.99053,                0.99462,                0.99453,                0.08493,                0.19989,                0.58822,               0.000991,               0.000991,               0.000991
                     94,                0.02638,                0.05311,                0.89735,                0.99434,                0.99075,                0.99464,                0.99451,                0.08603,                0.20227,                0.58795,               0.000892,               0.000892,               0.000892
                     95,                0.02509,                0.05107,                0.89841,                0.99455,                0.99091,                0.99466,                0.99451,                 0.0871,                0.20372,                0.58789,               0.000793,               0.000793,               0.000793
                     96,                    inf,                0.04515,                0.89626,                0.99457,                0.99161,                0.99465,                 0.9945,                0.08869,                0.20566,                0.58829,               0.000694,               0.000694,               0.000694
                     97,                0.02262,                0.04233,                0.89671,                0.99592,                0.99075,                0.99467,                0.99449,                0.09046,                0.20757,                0.58882,               0.000595,               0.000595,               0.000595
                     98,                0.02125,                0.04006,                0.89662,                0.99607,                0.99119,                0.99468,                0.99446,                 0.0924,                0.21139,                0.58951,               0.000496,               0.000496,               0.000496
                     99,                0.01988,                0.03652,                0.89791,                0.99619,                0.99156,                 0.9947,                0.99447,                0.09395,                0.21322,                   0.59,               0.000397,               0.000397,               0.000397
                    100,                0.01897,                0.03469,                0.89553,                0.99614,                0.99157,                0.99472,                0.99445,                0.09566,                0.21673,                 0.5907,               0.000298,               0.000298,               0.000298
